,Acronym,Label,doc_present,rdf_present,Phrase
220,DLPC,acronym,False,True,
221,DDPC,acronym,False,True,
222,DODD,acronym,False,True,
223,DoD EA,acronym,False,True,
224,DDESB,acronym,False,True,
225,DoD HAP,acronym,False,True,
226,DODI,acronym,False,True,
227,DODM,acronym,False,True,
228,DRWG,acronym,False,True,
229,DODSA/LWSP,acronym,False,True,
230,DEA,acronym,False,True,
231,DUNS,acronym,False,True,
232,ERMS,acronym,False,True,
233,ERS,acronym,False,True,
234,ETD,acronym,False,True,
235,EAFE,acronym,False,True,
236,EKG,acronym,False,True,
237,EDI,acronym,False,True,
238,EPC,acronym,False,True,
239,ETID,acronym,False,True,
240,e-waste,acronym,False,True,
241,ESD,acronym,False,True,
242,EUC,acronym,False,True,
243,EDFP,acronym,False,True,
244,ESA,acronym,False,True,
245,ERP,acronym,False,True,
246,ESP,acronym,False,True,
248,ECC,acronym,False,True,
249,EC,acronym,False,True,
250,EDA,acronym,False,True,
252,ESACC,acronym,False,True,
253,EO,acronym,False,True,
254,EOD,acronym,False,True,
256,ECCN,acronym,False,True,
258,XML,acronym,False,True,
259,FED,acronym,False,True,
260,FAR,acronym,False,True,
261,FAR/DOD,acronym,False,True,
262,FAA,acronym,False,True,
263,FCC,acronym,False,True,
264,FCAs,acronym,False,True,
265,FEDS,acronym,False,True,
266,FEMA,acronym,False,True,
267,FEP,acronym,False,True,
268,FIFRA,acronym,False,True,
269,FEDLOG,acronym,False,True,
271,FPMR,acronym,False,True,
272,FED-STD,acronym,False,True,
273,FSG,acronym,False,True,
274,FGS,acronym,False,True,
276,FRH,acronym,False,True,
277,FSCAP,acronym,False,True,
278,FDA,acronym,False,True,
280,FP,acronym,False,True,
281,F/AD,acronym,False,True,
282,FEPP,acronym,False,True,
283,FMS,acronym,False,True,
284,FS,acronym,False,True,
285,FDP,acronym,False,True,
286,FST,acronym,False,True,
287,GIM,acronym,False,True,
288,GC,acronym,False,True,
289,GPF,acronym,False,True,
290,GPFU,acronym,False,True,
291,GHz,acronym,False,True,
292,GCSS,acronym,False,True,
294,GES,acronym,False,True,
295,GPS-S,acronym,False,True,
297,GPMCWG,acronym,False,True,
298,GOER,acronym,False,True,
299,GIDEP,acronym,False,True,
301,GOVT,acronym,False,True,
302,GAO,acronym,False,True,
303,GBL,acronym,False,True,
304,GOTS,acronym,False,True,
305,GOCO,acronym,False,True,
306,GFCI,acronym,False,True,
307,GPM,acronym,False,True,
308,GEF,acronym,False,True,
309,HAZMAT,acronym,False,True,
310,HMT,acronym,False,True,
311,HMIC,acronym,False,True,
312,HMIRS,acronym,False,True,
313,HP,acronym,False,True,
314,HTIS,acronym,False,True,
315,HW,acronym,False,True,
316,HWPS,acronym,False,True,
317,HQ,acronym,False,True,
318,HQAFMC,acronym,False,True,
319,HQDA,acronym,False,True,
320,HMMWV,acronym,False,True,
321,HBCU,acronym,False,True,
322,HN,acronym,False,True,
323,HAP,acronym,False,True,
324,HCFC,acronym,False,True,
325,HFC,acronym,False,True,
326,ID,acronym,False,True,
327,IFF,acronym,False,True,
328,ICS,acronym,False,True,
331,IPE,acronym,False,True,
332,IFB,acronym,False,True,
334,IR,acronym,False,True,
335,IOC,acronym,False,True,
336,IG,acronym,False,True,
337,IMD,acronym,False,True,
338,IEEE,acronym,False,True,
339,IMM SSR,acronym,False,True,
340,ILMM,acronym,False,True,
341,ILSC,acronym,False,True,
342,IMMC,acronym,False,True,
343,IMM,acronym,False,True,
345,ISSA,acronym,False,True,
346,INCITS,acronym,False,True,
347,IMDG,acronym,False,True,
348,ISO,acronym,False,True,
349,ISO/IEC,acronym,False,True,
350,ISPM,acronym,False,True,
351,ITAR,acronym,False,True,
353,ISA,acronym,False,True,
354,ICE,acronym,False,True,
355,ICP,acronym,False,True,
356,ITA,acronym,False,True,
358,INTA,acronym,False,True,
360,IMC,acronym,False,True,
361,IMCA,acronym,False,True,
362,IM,acronym,False,True,
363,ISN,acronym,False,True,
364,ISC,acronym,False,True,
365,IUID,acronym,False,True,
366,JCMEC,acronym,False,True,
367,JCS,acronym,False,True,
368,JCASO,acronym,False,True,
369,JCSG,acronym,False,True,
370,JDDE COI,acronym,False,True,
371,JESI,acronym,False,True,
372,JEAP,acronym,False,True,
373,JEAPCBD,acronym,False,True,
374,JFCS,acronym,False,True,
375,JFC,acronym,False,True,
376,JLC,acronym,False,True,
377,JLEnt,acronym,False,True,
378,JMPAB,acronym,False,True,
379,JOPES,acronym,False,True,
380,JOA,acronym,False,True,
381,JPIWG,acronym,False,True,
382,JP,acronym,False,True,
383,JRIMM,acronym,False,True,
384,JSNBCDEAP,acronym,False,True,
385,JSA/LWCG,acronym,False,True,
386,JTSCC,acronym,False,True,
387,JWRMAG,acronym,False,True,
388,KG,acronym,False,True,
389,KM,acronym,False,True,
390,LDE,acronym,False,True,
391,LDR,acronym,False,True,
392,LAC,acronym,False,True,
393,LEA,acronym,False,True,
394,LESO,acronym,False,True,
395,LAR,acronym,False,True,
396,LG,acronym,False,True,
397,LOA,acronym,False,True,
398,LOAs,acronym,False,True,
399,LOT,acronym,False,True,
400,LCMC,acronym,False,True,
401,LTV,acronym,False,True,
402,LW,acronym,False,True,
403,LTI,acronym,False,True,
404,LIAC,acronym,False,True,
405,LIAT,acronym,False,True,
406,LISSR,acronym,False,True,
407,LIN,acronym,False,True,
408,LRA,acronym,False,True,
409,LSN,acronym,False,True,
410,LR,acronym,False,True,
411,LRs,acronym,False,True,
412,L,acronym,False,True,
413,L/SCI,acronym,False,True,
414,LEM,acronym,False,True,
415,LMARS,acronym,False,True,
416,LRT,acronym,False,True,
417,LOGSA,acronym,False,True,
418,LIM,acronym,False,True,
419,LIM/GIM,acronym,False,True,
420,LLRW,acronym,False,True,
421,LRIP,acronym,False,True,
422,LEL,acronym,False,True,
423,MRL,acronym,False,True,
424,MAJCOM,acronym,False,True,
425,MDAP,acronym,False,True,
426,MOE,acronym,False,True,
427,MCA,acronym,False,True,
428,MFG,acronym,False,True,
429,MCCUU,acronym,False,True,
430,MCO,acronym,False,True,
431,MARPAT,acronym,False,True,
432,MCSC,acronym,False,True,
433,MK,acronym,False,True,
435,MDEH,acronym,False,True,
436,MDAS,acronym,False,True,
437,MPPEH,acronym,False,True,
438,MSDS,acronym,False,True,
439,MRCAG,acronym,False,True,
440,MRCs,acronym,False,True,
441,MRO,acronym,False,True,
442,MHz,acronym,False,True,
444,MOA,acronym,False,True,
445,MOU,acronym,False,True,
446,MSG,acronym,False,True,
447,MARS,acronym,False,True,
449,MAPAC,acronym,False,True,
450,MAPAD,acronym,False,True,
451,MILDEP,acronym,False,True,
452,MEIS,acronym,False,True,
453,MIL-HDBK,acronym,False,True,
454,MIDI,acronym,False,True,
455,MIDI/MEIS,acronym,False,True,
456,MMR,acronym,False,True,
457,MIL-PRF,acronym,False,True,
458,MPS,acronym,False,True,
459,MPSA,acronym,False,True,
460,MILSPEC,acronym,False,True,
461,MIL-STD,acronym,False,True,
462,MILSBILLS,acronym,False,True,
463,MILSCAP,acronym,False,True,
464,MILSTRIP,acronym,False,True,
465,MILSTRAP,acronym,False,True,
466,MG/M,acronym,False,True,
467,MM,acronym,False,True,
468,MPPCF,acronym,False,True,
469,MT,acronym,False,True,
470,MBU,acronym,False,True,
471,MOD,acronym,False,True,
472,MOLLE,acronym,False,True,
474,MWRA,acronym,False,True,
476,MVAC,acronym,False,True,
478,MLI,acronym,False,True,
479,MUT,acronym,False,True,
480,NASA,acronym,False,True,
481,NCB,acronym,False,True,
483,NGA,acronym,False,True,
484,NIIN,acronym,False,True,
486,CNSS,acronym,False,True,
487,CNNSI,acronym,False,True,
488,NTISSIAM,acronym,False,True,
489,NSN,acronym,False,True,
490,NWS,acronym,False,True,
491,NAVICP,acronym,False,True,
492,NMLC,acronym,False,True,
493,NOLSC,acronym,False,True,
494,NAVSEA,acronym,False,True,
495,NAVSEADET,acronym,False,True,
496,NAVSUP,acronym,False,True,
497,NAVSUP PUB,acronym,False,True,
498,NVR,acronym,False,True,
499,NWU,acronym,False,True,
500,NICN,acronym,False,True,
501,NAVSEAINST,acronym,False,True,
502,NAVSUPINST,acronym,False,True,
503,NAVMARCORMARS,acronym,False,True,
504,NGH,acronym,False,True,
505,NICAD,acronym,False,True,
506,NVE,acronym,False,True,
507,NAF,acronym,False,True,
508,NIMSC,acronym,False,True,
509,NIMSR,acronym,False,True,
510,non-CIIC,acronym,False,True,
511,non-CLSSA,acronym,False,True,
512,non-DLA,acronym,False,True,
513,non-DLSS,acronym,False,True,
514,non-DOD,acronym,False,True,
515,non-ACM,acronym,False,True,
516,NHSW,acronym,False,True,
517,non-IMM,acronym,False,True,
518,non-USML/non-CCLI,acronym,False,True,
519,non-NSN,acronym,False,True,
520,NNMR,acronym,False,True,
521,non-PCB,acronym,False,True,
522,non-QRP,acronym,False,True,
523,non-RCP,acronym,False,True,
524,non-RCRA,acronym,False,True,
525,non-USAF,acronym,False,True,
526,NAFI,acronym,False,True,
528,NI,acronym,False,True,
529,NLT,acronym,False,True,
530,NMCS,acronym,False,True,
531,NOV,acronym,False,True,
532,NBC,acronym,False,True,
533,NP,acronym,False,True,
534,NRC,acronym,False,True,
535,NWRM,acronym,False,True,
536,OSHA,acronym,False,True,
537,OFAC,acronym,False,True,
539,ONDCP,acronym,False,True,
540,OASD,acronym,False,True,
541,OASD(L),acronym,False,True,
542,OPNAVINST,acronym,False,True,
543,ODASD(SCI),acronym,False,True,
544,DoD IG,acronym,False,True,
545,OSD,acronym,False,True,
546,USD(C),acronym,False,True,
547,OIC,acronym,False,True,
548,OMP,acronym,False,True,
549,OL,acronym,False,True,
550,OM,acronym,False,True,
551,OPSEC,acronym,False,True,
552,OST,acronym,False,True,
553,OSTL,acronym,False,True,
554,OESO,acronym,False,True,
555,OCIE,acronym,False,True,
556,OCA,acronym,False,True,
557,OFA,acronym,False,True,
558,OCONUS,acronym,False,True,
560,OBA,acronym,False,True,
561,ODS,acronym,False,True,
562,PHS,acronym,False,True,
563,PC,acronym,False,True,
564,PCH,acronym,False,True,
565,para,acronym,False,True,
566,P/N,acronym,False,True,
567,PPM,acronym,False,True,
568,PCP,acronym,False,True,
569,POF,acronym,False,True,
570,PFC,acronym,False,True,
571,PBL,acronym,False,True,
574,PPE,acronym,False,True,
575,PWRR,acronym,False,True,
576,PICP,acronym,False,True,
577,PT,acronym,False,True,
578,PM,acronym,False,True,
579,PLCO,acronym,False,True,
581,PCB,acronym,False,True,
582,POD,acronym,False,True,
583,POE,acronym,False,True,
584,P.O.,acronym,False,True,
585,PR/DS,acronym,False,True,
586,PRS,acronym,False,True,
587,LBS,acronym,False,True,
588,PWRS,acronym,False,True,
589,PMIC,acronym,False,True,
590,PMRP,acronym,False,True,
591,PLGR,acronym,False,True,
593,PICA,acronym,False,True,
594,PICA/SICA,acronym,False,True,
595,PLFAs,acronym,False,True,
596,PEIS,acronym,False,True,
598,PD,acronym,False,True,
599,DX,acronym,False,True,
600,PSC,acronym,False,True,
601,PRC,acronym,False,True,
